ID,Name,Variable,Method,Class,Package,File,File Name
CS66,UnusedParameters,pY,findImpliedEquality,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS67,UnusedParameters,pModulo,modularCongruence,Mathsat5BitvectorFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5BitvectorFormulaManager.java,Mathsat5BitvectorFormulaManager.java
CS68,UnusedParameters,startOfSubTree,getTreeInterpolants,Mathsat5InterpolatingProver,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5InterpolatingProver.java,Mathsat5InterpolatingProver.java
CS69,UnusedParameters,pBitwidth,getBitvectorType,PrincessFormulaCreator,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessFormulaCreator.java,PrincessFormulaCreator.java
CS70,UnusedParameters,pT,getQuantifiedBody,PrincessUnsafeFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUnsafeFormulaManager.java,PrincessUnsafeFormulaManager.java
CS71,UnusedParameters,pX,findImpliedEquality,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS72,UnusedParameters,type,getFloatingPointType,SmtInterpolFormulaCreator,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolFormulaCreator.java,SmtInterpolFormulaCreator.java
CS73,UnusedParameters,pName,internalMakeArray,Mathsat5ArrayFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5ArrayFormulaManager.java,Mathsat5ArrayFormulaManager.java
CS74,UnusedParameters,env,toFunction,PrincessModel,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessModel.java,PrincessModel.java
CS75,UnusedParameters,t,isXor,PrincessUtil,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUtil.java,PrincessUtil.java
CS76,UnusedParameters,pIndexType,getArrayType,Mathsat5FormulaCreator,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5FormulaCreator.java,Mathsat5FormulaCreator.java
CS77,UnusedParameters,pF,replaceQuantifiedBody,PrincessUnsafeFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUnsafeFormulaManager.java,PrincessUnsafeFormulaManager.java
CS78,UnusedParameters,partitionedFormulas,getTreeInterpolants,Mathsat5InterpolatingProver,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5InterpolatingProver.java,Mathsat5InterpolatingProver.java
CS79,UnusedParameters,pT,isBoundVariable,PrincessUnsafeFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUnsafeFormulaManager.java,PrincessUnsafeFormulaManager.java
CS80,UnusedParameters,pElementType,getArrayType,SmtInterpolFormulaCreator,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolFormulaCreator.java,SmtInterpolFormulaCreator.java
CS81,UnusedParameters,pNumber1,modularCongruence,Mathsat5RationalFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5RationalFormulaManager.java,Mathsat5RationalFormulaManager.java
CS82,UnusedParameters,substituteTo,substitute,SmtInterpolUnsafeFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolUnsafeFormulaManager.java,SmtInterpolUnsafeFormulaManager.java
CS83,UnusedParameters,pNumber2,modularCongruence,Mathsat5RationalFormulaManager,org.sosy_lab.solver.mathsat5,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\mathsat5\Mathsat5RationalFormulaManager.java,Mathsat5RationalFormulaManager.java
CS84,UnusedParameters,substituteFrom,substitute,PrincessUnsafeFormulaManager,org.sosy_lab.solver.princess,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\princess\PrincessUnsafeFormulaManager.java,PrincessUnsafeFormulaManager.java
CS85,UnusedParameters,levels,pop,FormulaCollectionScript,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\FormulaCollectionScript.java,FormulaCollectionScript.java
CS86,UnusedParameters,formulasOfB,logInterpolation,Z3SmtLogger,org.sosy_lab.solver.z3,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\z3\Z3SmtLogger.java,Z3SmtLogger.java
CS87,UnusedParameters,pT,isBoundVariable,SmtInterpolUnsafeFormulaManager,org.sosy_lab.solver.smtInterpol,D:/Mona/new-downloads/java-smt_snapshots/java-smt_0\smtInterpol\SmtInterpolUnsafeFormulaManager.java,SmtInterpolUnsafeFormulaManager.java
