language,project,file_name,sha,author,author_date,is_bug,insertion,deletion
java,conscrypt,common/src/main/java/org/conscrypt/NativeCrypto.java,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,4,0
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLAeadCipher.java,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,20,6
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLAeadCipherAES.java,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,109,45
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLCipher.java,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,18,4
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLProvider.java,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,6,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/CipherBasicsTest.java,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,1,0
java,conscrypt,openjdk-integ-tests/src/test/java/org/conscrypt/javax/crypto/CipherTest.java,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,23,0
csv,conscrypt,openjdk-integ-tests/src/test/resources/crypto/aes-gcm-siv.csv,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,147,0
shell,conscrypt,openjdk-integ-tests/src/test/resources/crypto/build_test_files.sh,fb3bce92a4cf11bfea2b1a0c978e9ae602a43038,Adam Vartanian,2019-04-04 12:06:09,,4,1
readme,conscrypt,README.md,624c49afaf6ee0a425d0991afada3733c5368ac2,Adam Vartanian,2019-04-03 14:25:51,,5,5
gradle,conscrypt,build.gradle,624c49afaf6ee0a425d0991afada3733c5368ac2,Adam Vartanian,2019-04-03 14:25:51,,1,1
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLAeadCipher.java,6d6d15a40c5bdf247e5ea4bf9b31b3027b583bc6,Adam Vartanian,2019-04-03 09:22:54,,348,0
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLAeadCipherAES.java,6d6d15a40c5bdf247e5ea4bf9b31b3027b583bc6,Adam Vartanian,2019-04-03 09:22:54,,158,0
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLAeadCipherChaCha20.java,6d6d15a40c5bdf247e5ea4bf9b31b3027b583bc6,Adam Vartanian,2019-04-03 09:22:54,,73,0
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLCipher.java,6d6d15a40c5bdf247e5ea4bf9b31b3027b583bc6,Adam Vartanian,2019-04-03 09:22:54,,0,1020
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLEvpCipher.java,6d6d15a40c5bdf247e5ea4bf9b31b3027b583bc6,Adam Vartanian,2019-04-03 09:22:54,,209,0
java,conscrypt,common/src/main/java/org/conscrypt/OpenSSLEvpCipherAES.java,6d6d15a40c5bdf247e5ea4bf9b31b3027b583bc6,Adam Vartanian,2019-04-03 09:22:54,,240,0
