system;version;release;FileName;JNINativeFlag;Smelly;excessiveInterlangCommunication;Toomuchclustring;ToomuchScattering;UnusedMethodDeclaration;UnusedMethodImplementation;UnusedParameter;AssumingSafeReturnValue;ExcessiveObjects;NotHandlingExceptions;NotCachingObjects;NotSecuringLibraries;HardCodingLibraries;NotUsingRelativePath;MemoryManagementMismatch;LocalReferencesAbuse;CLOC;PrevFixing;CodeChurn;InducingFlag;Inducing;LOC
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;common/src/main/java/org/conscrypt/ServerSessionContext.java;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;50735;3;43;1;6;89
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;libcore-stub/src/main/java/libcore/net/NetworkSecurityPolicy.java;1;1;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;98
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/main/java/org/conscrypt/NativeLibraryUtil.java;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;710;1;0;1;1;59
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/main/java/org/conscrypt/Platform.java;1;1;0;0;0;0;0;10;0;0;0;0;0;0;0;0;0;25242;18;1247;1;21;590
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/test/java/org/conscrypt/ConscryptSocketTest.java;1;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;17494;5;235;1;6;592
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/test/java/org/conscrypt/ConscryptTest.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;120
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/test/java/org/conscrypt/DuckTypedPSKKeyManagerTest.java;1;1;0;0;0;0;0;36;0;0;0;0;0;0;0;0;0;7738;1;312;1;1;317
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/test/java/org/conscrypt/FileClientSessionCacheTest.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/test/java/org/conscrypt/MockSessionBuilder.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8125;2;85;1;1;78
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/test/java/org/conscrypt/NativeCryptoTest.java;1;1;0;0;0;0;0;5;0;0;0;0;0;0;0;0;0;28308;25;5481;1;15;3118
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/test/java/org/conscrypt/NativeRefTest.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7738;1;29;1;1;33
conscrypt;conscrypt-1.0.0.RC11;9/25/2017;openjdk/src/test/java/org/conscrypt/NativeSslSessionTest.java;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;8125;2;0;1;1;623
